year,listeners
1983,30
1984,1000
1985,5000
1986,10000
1987,50000
1988,100000
1989,200000
1990,350000
1991,500000
1992,500000
1993,500000
1994,500000
1995,1200000
1996,1200000
1997,1200000
1998,1200000
1999,2500000
2000,2500000
2001,2500000
2002,4500000
2003,4500000
2004,4500000
2005,4500000
2006,8000000
2007,8000000
2008,8000000
2009,10000000
2010,11000000
2011,12000000
2012,13000000
2013,14000000
2014,15000000
2015,15000000
2016,15000000
2017,16000000
2018,17000000
2019,18000000
2020,18000000
2021,19000000
2022,20000000
2023,22000000
2024,24000000
